Compound,Space_Group,Crystal_System,cluster_id,Representative_Compound
NaTl2InF6_225,225,cubic,12,BaCaLaSbO6_216
NaTl2MoF6_225,225,cubic,12,BaCaLaSbO6_216
NaV4(CuO4)3_204,204,cubic,54,EuNiO3_62
NaV4Cd3O12_6,6,monoclinic,171,TmRhO3_62
NaVF3_221,221,cubic,135,NaVF3_221
NaVF3_62,62,orthorhombic,136,NaVF3_62
NaZnO3_221,221,cubic,123,Na3SrTa4O12_6
Nb2Co(PbO3)3_164,164,trigonal,170,TlCuF3_123
Nb5PbSe8_12,12,monoclinic,137,Nb5PbSe8_12
Nb5SnSe8_12,12,monoclinic,137,Nb5PbSe8_12
NbAgO3_26,26,orthorhombic,96,La2NiMoO6_225
NbAgO3_57,57,orthorhombic,96,La2NiMoO6_225
NbBiO3_221,221,cubic,53,EuMoO3_221
NbBRh3_221,221,cubic,49,ErRu3C_221
NbCo(PbO3)2_225,225,cubic,158,Sr2CrSbO6_12
NbCr3(AgS4)2_26,26,orthorhombic,164,Sr8MgMn6O20_1
NbCr3(AgS4)2_31,31,orthorhombic,164,Sr8MgMn6O20_1
NbFe(PbO3)2_123,123,tetragonal,158,Sr2CrSbO6_12
NbFe(PbO3)2_225,225,cubic,170,TlCuF3_123
NbGa(PbO3)2_225,225,cubic,158,Sr2CrSbO6_12
NbMoS3_11,11,monoclinic,138,NbMoS3_11
Nd2CoRuO6_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Nd2MgIrO6_14,14,monoclinic,89,KLaHfFeO6_216
Nd2MgPtO6_14,14,monoclinic,89,KLaHfFeO6_216
Nd2MnCoO6_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Nd2MnFeO6_14,14,monoclinic,97,La3Mn3O10_1
Nd2MnGaO6_14,14,monoclinic,97,La3Mn3O10_1
Nd2MnNiO6_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Nd2NiPtO6_14,14,monoclinic,97,La3Mn3O10_1
Nd2NiRuO6_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Nd2ZnPtO6_14,14,monoclinic,158,Sr2CrSbO6_12
Nd3GaC_221,221,cubic,65,K2CeCuBr6_225
Nd3InC_221,221,cubic,152,RbTlI3_225
Nd3InN_221,221,cubic,152,RbTlI3_225
Nd3PbC_221,221,cubic,57,Gd3PbC_221
Nd3Sm(GaO3)4_6,6,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Nd3SnN_221,221,cubic,58,Gd3SnC_221
Nd3TlC_221,221,cubic,57,Gd3PbC_221
Nd3TlN_221,221,cubic,57,Gd3PbC_221
Nd4Co3O10_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Nd4Mn(NiO4)3_2,2,triclinic,99,LaFeO3_2
Nd4Ni3O10_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Nd5Mn8(PbO8)3_221,221,cubic,161,Sr3La7Mn7(FeO10)3_1
Nd9Mn10O30_1,1,triclinic,97,La3Mn3O10_1
NdAlO3_221,221,cubic,50,ErVO3_62
NdBPd3_221,221,cubic,51,EuBPd3_221
NdCoO3_62,62,orthorhombic,54,EuNiO3_62
NdCoSbPbO6_7,7,monoclinic,158,Sr2CrSbO6_12
NdCuO3_62,62,orthorhombic,59,GdMnO3_62
NdEu2SbO6_225,225,cubic,14,BaSrNdSbO6_216
NdEu2TaO6_225,225,cubic,14,BaSrNdSbO6_216
NdEuHfTiO6_216,216,cubic,158,Sr2CrSbO6_12
NdGaO3_221,221,cubic,36,Cs2NaNdF6_225
NdInO3_62,62,orthorhombic,96,La2NiMoO6_225
NdLuO3_62,62,orthorhombic,53,EuMoO3_221
NdMn4(CuO4)3_204,204,cubic,54,EuNiO3_62
NdMnO3_14,14,monoclinic,97,La3Mn3O10_1
NdMnO3_62,62,orthorhombic,161,Sr3La7Mn7(FeO10)3_1
NdNpO3_221,221,cubic,5,Ba2CePaO6_225
NdReO3_221,221,cubic,96,La2NiMoO6_225
NdRh3C_221,221,cubic,156,SmRh3C_221
NdRhO3_62,62,orthorhombic,161,Sr3La7Mn7(FeO10)3_1
NdSbO3_221,221,cubic,14,BaSrNdSbO6_216
NdScO3_62,62,orthorhombic,173,VBiO3_14
NdTiO3_62,62,orthorhombic,97,La3Mn3O10_1
NdVO3_221,221,cubic,161,Sr3La7Mn7(FeO10)3_1
Ni3SbN_123,123,tetragonal,139,Ni3SbN_123
NiAgF3_221,221,cubic,96,La2NiMoO6_225
NiAsO3_221,221,cubic,174,ZnCuO3_221
NiBiO3_11,11,monoclinic,173,VBiO3_14
NiBiO3_2,2,triclinic,173,VBiO3_14
NiBiO3_62,62,orthorhombic,173,VBiO3_14
NiNCl3_194,194,hexagonal,91,KMn2O4_1
NiNF3_194,194,hexagonal,119,Na2LiAuF6_225
NiNF3_221,221,cubic,117,MnNF3_221
NiO3_65,65,orthorhombic,140,NiO3_65
NiPb2WO6_225,225,cubic,158,Sr2CrSbO6_12
NiPtO3_221,221,cubic,173,VBiO3_14
NiRuO3_221,221,cubic,174,ZnCuO3_221
NiSeO3_62,62,orthorhombic,54,EuNiO3_62
NiTeO3_62,62,orthorhombic,99,LaFeO3_2
NiW3N_62,62,orthorhombic,141,NiW3N_62
NpBO3_221,221,cubic,15,BeAuO3_221
NpHgO3_221,221,cubic,14,BaSrNdSbO6_216
NpMoO3_221,221,cubic,158,Sr2CrSbO6_12
NpOsO3_221,221,cubic,96,La2NiMoO6_225
NpSnO3_221,221,cubic,8,Ba2TmMoO6_225
NpTaO3_221,221,cubic,53,EuMoO3_221
NpTcO3_221,221,cubic,159,Sr2HfCrO6_12
NpTiO3_221,221,cubic,173,VBiO3_14
PaBO3_221,221,cubic,103,LiCeO3_221
PaHgO3_221,221,cubic,14,BaSrNdSbO6_216
PaOsO3_221,221,cubic,96,La2NiMoO6_225
PaSiO3_221,221,cubic,50,ErVO3_62
PbAuO3_221,221,cubic,53,EuMoO3_221
PbCI3N_99,99,tetragonal,142,PbCI3N_99
PmEuO3_221,221,cubic,6,Ba2ErPaO6_225
PmMgO3_221,221,cubic,97,La3Mn3O10_1
PmTiO3_1,1,triclinic,161,Sr3La7Mn7(FeO10)3_1
PmWO3_221,221,cubic,53,EuMoO3_221
Pr12Mn11O36_14,14,monoclinic,97,La3Mn3O10_1
Pr2CoRuO6_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Pr2MgIrO6_14,14,monoclinic,89,KLaHfFeO6_216
Pr2MgPtO6_14,14,monoclinic,89,KLaHfFeO6_216
Pr2MnNiO6_14,14,monoclinic,161,Sr3La7Mn7(FeO10)3_1
Pr2NiO4_64,64,orthorhombic,96,La2NiMoO6_225
Pr2NiPtO6_14,14,monoclinic,158,Sr2CrSbO6_12
Pr2ZnPtO6_14,14,monoclinic,158,Sr2CrSbO6_12
Pr3GaC_221,221,cubic,65,K2CeCuBr6_225
